,description,count
0,misc violation,13
1,FRAUD,2
2,stealing from auto,2
3,PROPERTY DAMAGE,2
4,liquor law violation,2
5,stealing from bldg,5
6,Prostitution/Solicit,788
7,Possession/Sale/Dist,39608
8,Stealing from Buildi,47710
9,misc off,4
10,Accidental Drug Over,5
11,Aggravated Assault (,49141
12,misc investigation,5
13,Stalking,148
14,Stealing Auto Parts/,51550
15,Drunkenness,831
16,Family Disturbance,80
17,Statutory Rape,717
18,Liquor Law Violaton,2381
19,],2
20,Stealing From Auto,78889
21,Agg Assault - Drive-,4905
22,Sex Offense -others,911
23,Felony Eluding,1
24,Stealing from Auto,2
25,Intimidation,12447
26,Forcible Sodomy,3399
27,Agg Assault Dome,8
28,MISSING PERSON,1
29,Stealing from uildi,3
30,Forged Checks,3658
31,Family Offense,4794
32,False Information to,1945
33,Credit/Debit/ATM Car,9337
34,Sexual Assault with,33
35,armed robbery,7
36,Failure to Return,724
37,Defrauding an Innkee,2
38,non aggravated assau,2
39,stealing shoplifting,2
40,burglary-res,2
41,Intimidation (DV),2
42,False ID,99
43,intimidation,4
44,Burglary - Non Resid,19916
45,credit/debit/atm car,2
46,Obstruction,2
47,Prostitution/Patroni,1950
48,Missing/Runaway Juve,62
49,Intoxicated/Street,2
50,Withhold Property,4
51,Weapons Law Violatio,9074
52,Peeping Tom,45
53,Stolen Idenity,2
54,prowling,4
55,Embezzlement,3828
56,IDTheft,2
57,Impersonation - NOT,494
58,Resisting an Officer,14023
59,Stealing Auto Parts,2
60,Burglary - Residence,93571
61,5,2
62,burglary res,2
63,child molistation,2
64,Rape,5100
65,stealing acc,2
66,stealing all other,9
67,misc Inv,1
68,Counterfeiting,1282
69,agg dv assault,2
70,Bribery,2
71,burglary residence,2
72,Agg Assault,10
73,poss equip,2
74,counterfieting,5
75,Misc Violation,53365
76,Arson,4580
77,Tresspassing,2
78,Passing Bad Checks,270
79,Suicide By Hanging,2
80,property damage,11
81,Fraud,489
82,Loitering,244
83,AGG DV ASSAULT,3
84,Property Damage,98261
85,HOMICIDE/Non Neglige,1524
86,Steal from Auto,2
87,Agg Assault - Domest,18602
88,Forgery,5071
89,Sex Off Indecent Exp,1074
90,Bomb Threat/Intimida,721
91,Gambling - Possessio,4
92,DUI,2
93,Dumping (littering),4
94,STEALING,2
95,burglary,2
96,Trespassing,28906
97,Possesion,2
98,Stealing from Bldg,2
99,Sex Off Misconduct,1135
100,Suicide By Jumping,1
101,kidnapping,2
102,Property Damage6,2
103,Extortion/Blackmail,92
104,Vagrancy,2
105,Hindering,4
106,Animal Bite - Dog,2
107,403,4
108,Forcible Fondling,133
109,Arson with Fire Bomb,138
110,impersonation,2
111,Welfare Fraud,14
112,Sex Off Incest,19
113,stealing-bldg,2
114,auto theft,5
115,Hit and Run of a Per,133
116,agg assault,5
117,sexual assault,2
118,aggravated assault,2
119,black mail,2
120,peace disturbance,2
121,Violation Ex Parte O,2982
122,Fraud/Confidence Gam,10644
123,Promoting Prostituti,269
124,Auto Theft Outside S,288
125,resisting officer,4
126,Human Trafficking/Co,10
127,Attempt Suicide by P,1
128,interuption of servi,3
129,Misc Viol(2601),2
130,Wire Fraud,3122
131,stealing from buildi,3
132,Stolen Property OFFE,3961
133,NON AGG ASSAULT DV,2
134,Non Aggravated Assau,58303
135,Sex Off Fondle - mol,2753
136,Sex Off Follow/Entic,151
137,Suicide - Domestic V,5
138,Walking in Street,1
139,INTIMIDATE,2
140,Steal bldg,2
141,Hacking/Computer Inv,156
142,Burglary - Resid,3
143,trespassing,2
144,WIRE FRAUD,2
145,resisting an officer,3
146,Stealing Bicycles,1643
147,AUTO THEFT,6
148,Stealing From Buildi,2
149,STEAL TFA,2
150,c,4
151,misc juv,5
152,Dead Body,1166
153,Stealing Shoplifting,51963
154,Strong Arm Robbery,16743
155,fraud/confidence gam,2
156,Arson OTH,2
157,Stealing Coin Operat,518
158,Negligent Manslaught,5
159,Strong Arm RoBBERY,2
160,wire fraud,2
161,Auto Theft7,2
162,Animal Cruelty,28
163,non agg,2
164,Steal TFA,2
165,Casualty (includes a,12
166,TRASH DUMPING,2
167,Stealing other,2
168,littering,2
169,Receiving Stolen Pro,1
170,disorderly conduct,4
171,stealing,4
172,Resisting an officer,2
173,Gambling - Operating,3
174,Stealing All Other,44834
175,Littering,4
176,Identity Theft,4208
177,misc,1
178,Driving Under Influe,9183
179,1,3
180,Idenity Theft,2
181,\,2
182,ENDANGER THE WELFARE,5
183,stolen identity,2
184,offensive contact,2
185,Justifiable Homicide,26
186,Possession of Drug E,14939
187,PROPERTY DAM,1
188,Misc Investigation,1
189,stolen auto,2
190,RAPE,2
191,Armed Robbery,32910
192,Stealing ACC,3
193,Bombing (other than,10
194,stealing oth,2
195,Business Robbery,3
196,Violation Full Order,5791
197,DISORDERLY CONDUCT,2
198,URINATE IN PUBLIC,2
199,`,1
200,Suicide By Shooting,2
201,forgery,8
202,Interference with Cu,914
203,embezzlement,4
204,ROBBERY ARMED,3
205,non agg assault,4
206,Disorderly Conduct,14714
207,4,8
208,Misc Offense,2
209,Harrassment/threats,2
210,PROPERY DAMAGE,2
211,fraud,21
212,strong armed robbery,2
213,CHILD ABUSE,2
214,TRESPASS,2
215,Non Agg Assault Dome,74975
216,Burg Res Occ,2
217,Misc. Viol,2
218,trespsssing,3
219,child endangerment,6
220,Auto Theft,73002
221,Kidnapping/Abduction,1151
222,Pornography,279
223,Non Agg Assault,9
224,Impersonation,7464
225,Stealing Pickpocket,1294
226,robbery,3
227,Stealing Acc,2
228,Fraud Confidence Gam,84
229,Harassment,4
230,Suicide By Sleeping,2
231,Attempt Suicide by H,2
232,Curfew,514
233,Urinating in Public,2
234,AGG ASSAULT,2
235,Sex Off Indecent Con,734
236,Aggravated Assault,29
237,STEALING ACC,2
238,Stealig All Other,2
239,Stealing Purse Snatc,1125
240,possession of drug e,5
241,Misc Viol,2
242,counterfeiting,1
243,s,2
244,Attempt Suicide by S,3
245,resist,2
246,broken window,2
